time,theta1,theta2,omega1,omega2,current,voltage
6.6e-06,0,0,0,0,1.30596e-65,0.5
0.006237,0,0,0,0,-5.5068e-64,0.5
0.0073166,0,0,0,0,-5.43061e-64,0.5
0.0227896,0.00153398,0,0,0,-5.32178e-64,0.5
0.0307262,0.00306796,0,0,0,-5.35443e-64,0.5
0.0410181,0.00460194,0,0,0,-5.33267e-64,0.5
0.0561298,0.00613592,0,0,0,-5.20207e-64,0.5
0.0645463,0.0076699,0,0,0,-5.23472e-64,0.5
0.0748137,0.0107379,0,0.127061,0,-5.09324e-64,0.5
0.0899249,0.0153398,0,0.127061,0,-5.06059e-64,0.5
0.106492,0.0214757,0,0.263027,0,-4.97353e-64,0.5
0.108257,0.0214757,0,0.263027,0,-4.96265e-64,0.5
0.124016,0.0276117,0,0.3291,0,-4.98441e-64,0.5
0.140062,0.0352816,0,0.441996,0,-4.87558e-64,0.5
0.156895,0.0444854,0,0.487972,0,-4.77763e-64,0.5
0.172948,0.0536893,0,0.563552,0,-4.82117e-64,0.5
0.174875,0.0552233,0,0.563552,0,-4.75587e-64,0.5
0.190407,0.0659612,0,0.632555,0,-4.64704e-64,0.5
0.192271,0.0659612,0,0.632555,0,-4.64704e-64,0.5
0.208015,0.076699,0,0.662576,0,-4.58174e-64,0.5
0.223846,0.0889709,0,0.71848,0,-4.58174e-64,0.5
0.240546,0.101243,0,0.771394,0,-4.67969e-64,0.5
0.256447,0.115049,0,0.845107,0,-4.39673e-64,0.5
0.273589,0.131922,0,0.884532,0,-4.34232e-64,0.5
0.290364,0.145728,0,0.946273,0,-4.25525e-64,0.5
0.306223,0.162602,0,0.983185,0,-4.18995e-64,0.5
0.311082,0.167204,0,1.00215,0,-4.24437e-64,0.5
0.326564,0.184078,0,1.05144,0,-4.12466e-64,0.5
0.340649,0.199418,0,1.08587,0,-4.08112e-64,0.5
0.351157,0.210155,0,1.11694,0,-4.03759e-64,0.5
0.366208,0.230097,0,1.16223,0,-4.09201e-64,0.5
0.391303,0.259243,0,1.2327,0,-3.92876e-64,0.5
0.406728,0.279185,0,1.27015,0,-3.87435e-64,0.5
0.412701,0.286854,0,1.29833,0,-3.86346e-64,0.5
0.427528,0.306796,0,1.33556,0,-3.79817e-64,0.5
0.436667,0.319068,0,1.35801,0,-3.80905e-64,0.5
0.458054,0.348214,0,1.41546,0,-3.75463e-64,0.5
0.470747,0.368155,0,1.44533,0,-3.65669e-64,0.5
0.476231,0.375825,0,1.45628,0,-3.63492e-64,0.5
0.4907,0.397301,0,1.50165,0,-3.56962e-64,0.5
0.506311,0.421845,0,1.53866,0,-3.61315e-64,0.5
0.511684,0.429515,0,1.54582,0,-3.6458e-64,0.5
0.524751,0.449456,0,1.57406,0,-3.54786e-64,0.5
0.540131,0.475534,0,1.61062,0,-3.42814e-64,0.5
0.557963,0.503146,0,1.65243,0,-3.51521e-64,0.5
0.573701,0.530757,0,1.67778,0,-3.67845e-64,0.5
0.578083,0.536893,0,1.7008,0,-3.40638e-64,0.5
0.591663,0.561437,0,1.71468,0,-3.31931e-64,0.5
0.606697,0.587515,0,1.75623,0,-3.25402e-64,0.5
0.623378,0.618194,0,1.79437,0,-3.3302e-64,0.5
0.625181,0.619728,0,1.79437,0,-3.29755e-64,0.5
0.640675,0.64734,0,1.82214,0,-3.29755e-64,0.5
0.655748,0.676486,0,1.84893,0,-3.40638e-64,0.5
0.659745,0.682621,0,1.85561,0,-3.1343e-64,0.5
0.673212,0.708699,0,1.87828,0,-3.17783e-64,0.5
0.674843,0.711767,0,1.88292,0,-3.16695e-64,0.5
0.689902,0.740913,0,1.90997,0,-3.12342e-64,0.5
0.694289,0.748583,0,1.92237,0,-3.04724e-64,0.5
0.707548,0.776194,0,1.93907,0,-3.10165e-64,0.5
0.723287,0.806874,0,1.97017,0,-3.10165e-64,0.5
0.725265,0.811476,0,1.97265,0,-3.37373e-64,0.5
0.740706,0.840621,0,1.99716,0,-2.98194e-64,0.5
0.756411,0.872835,0,2.02603,0,-2.99282e-64,0.5
0.772596,0.906583,0,2.0526,0,-2.96017e-64,0.5
0.774646,0.909651,0,2.0526,0,-3.02547e-64,0.5
0.789622,0.94033,0,2.07703,0,-2.97106e-64,0.5
0.794864,0.951068,0,2.07978,0,-2.92753e-64,0.5
0.809454,0.983282,0,2.10047,0,-2.91664e-64,0.5
