time,theta1,theta2,omega1,omega2,current,voltage
1.65e-05,0,0,0,0,1.0883e-65,1
0.0126535,0.00153398,0,0,0,-1.22869e-63,1
0.0279179,0.00460194,0,0,0,-1.22651e-63,1
0.0436516,0.00920388,0,0,0,-1.20475e-63,1
0.0450605,0.00920388,0,0,0,-1.20692e-63,1
0.0502659,0.0107379,0,0,0,-1.20584e-63,1
0.0658419,0.0184078,0,0.278078,0,-1.17428e-63,1
0.0786331,0.0260777,0,0.5464,0,-1.15686e-63,1
0.0937913,0.0368155,0,0.644313,0,-1.15795e-63,1
0.109347,0.0490874,0,0.753943,0,-1.13836e-63,1
0.112182,0.0521553,0,0.807246,0,-1.1351e-63,1
0.127512,0.0674952,0,0.919611,0,-1.11877e-63,1
0.129077,0.0674952,0,0.919611,0,-1.11007e-63,1
0.145374,0.0859029,0,1.07533,0,-1.10571e-63,1
0.14696,0.0874369,0,1.11835,0,-1.09809e-63,1
0.161883,0.105845,0,1.22643,0,-1.0785e-63,1
0.177829,0.12732,0,1.3326,0,-1.06871e-63,1
0.179731,0.128854,0,1.3326,0,-1.07524e-63,1
0.195071,0.151864,0,1.46558,0,-1.0415e-63,1
0.210708,0.176408,0,1.57897,0,-1.0415e-63,1
0.212676,0.179476,0,1.60328,0,-1.03171e-63,1
0.227807,0.205553,0,1.71268,0,-1.0143e-63,1
0.229851,0.208621,0,1.71268,0,-1.01321e-63,1
0.246017,0.237767,0,1.82854,0,-1.00777e-63,1
0.247704,0.240835,0,1.85434,0,-1.00341e-63,1
0.262922,0.269981,0,1.93812,0,-1.07524e-63,1
0.278833,0.302194,0,2.06708,0,-9.77293e-64,1
0.296385,0.340544,0,2.17838,0,-9.63145e-64,1
0.312343,0.377359,0,2.28642,0,-9.54439e-64,1
0.328572,0.414175,0,2.38915,0,-9.29408e-64,1
0.337009,0.437185,0,2.43983,0,-9.16348e-64,1
0.347655,0.464796,0,2.51165,0,-9.2179e-64,1
0.362447,0.500078,0,2.59879,0,-9.03289e-64,1
0.379226,0.546097,0,2.70489,0,-8.97847e-64,1
0.395415,0.590583,0,2.79599,0,-8.72816e-64,1
0.397665,0.598253,0,2.82727,0,-8.73905e-64,1
0.413317,0.641204,0,2.9099,0,-8.59757e-64,1
