time,theta1,theta2,omega1,omega2,current,voltage
7.6e-06,0,0,0,0,1.19713e-65,0.5
0.0082108,0,0,0,0,-5.41973e-64,0.5
0.0239172,0.00153398,0,0.0219027,0,-5.40885e-64,0.5
0.0254679,0.00153398,0,0.0219027,0,-5.27825e-64,0.5
0.0414946,0.00306796,0,0.0219027,0,-5.23472e-64,0.5
0.0571086,0.00613592,0,0.0219027,0,-5.21295e-64,0.5
0.0590555,0.00613592,0,0.0219027,0,-5.20207e-64,0.5
0.0750526,0.0107379,0,0,0,-5.15854e-64,0.5
0.0900445,0.0153398,0,0.214721,0,-5.04971e-64,0.5
0.0990588,0.0168738,0,0.214721,0,-5.10412e-64,0.5
0.109042,0.0214757,0,0.302602,0,-5.03883e-64,0.5
0.124137,0.0276117,0,0.360741,0,-4.89735e-64,0.5
0.129959,0.0306796,0,0.360741,0,-4.87558e-64,0.5
0.141326,0.0352816,0,0.420737,0,-4.87558e-64,0.5
0.157369,0.0444854,0,0.508077,0,-4.74499e-64,0.5
0.164641,0.0475534,0,0.508077,0,-4.75587e-64,0.5
0.17548,0.0552233,0,0.545403,0,-4.77763e-64,0.5
0.191448,0.0644272,0,0.615579,0,-4.65792e-64,0.5
0.20897,0.076699,0,0.67349,0,-4.58174e-64,0.5
0.224001,0.0874369,0,0.727969,0,-4.53821e-64,0.5
0.225702,0.0889709,0,0.727969,0,-4.52733e-64,0.5
0.241354,0.101243,0,0.779133,0,-4.4185e-64,0.5
0.257067,0.115049,0,0.825646,0,-4.36408e-64,0.5
0.273564,0.128854,0,0.864978,0,-4.75587e-64,0.5
0.288386,0.14266,0,0.927571,0,-4.2226e-64,0.5
0.291557,0.145728,0,0.927571,0,-4.2879e-64,0.5
0.307484,0.161068,0,0.981126,0,-4.17907e-64,0.5
0.324166,0.179476,0,1.03631,0,-4.08112e-64,0.5
0.339386,0.194816,0,1.0658,0,-4.11377e-64,0.5
0.342193,0.197884,0,1.08069,0,-4.00494e-64,0.5
0.357018,0.214757,0,1.10946,0,-3.98318e-64,0.5
0.360095,0.217825,0,1.12436,0,-4.05936e-64,0.5
0.375192,0.234699,0,1.1636,0,-4.05936e-64,0.5
0.380216,0.242369,0,1.17932,0,-3.99406e-64,0.5
0.393327,0.257709,0,1.20259,0,-3.88523e-64,0.5
0.408591,0.276117,0,1.24031,0,-3.88523e-64,0.5
0.423286,0.296058,0,1.28789,0,-3.85258e-64,0.5
0.432642,0.306796,0,1.29807,0,-3.80905e-64,0.5
0.443904,0.322136,0,1.33027,0,-3.78728e-64,0.5
0.459231,0.343612,0,1.36201,0,-3.67845e-64,0.5
0.474916,0.365087,0,1.40609,0,-3.66757e-64,0.5
0.491123,0.389631,0,1.43813,0,-3.66757e-64,0.5
0.493071,0.391165,0,1.43813,0,-3.65669e-64,0.5
0.509099,0.414175,0,1.47643,0,-3.8417e-64,0.5
0.512941,0.420311,0,1.48678,0,-3.58051e-64,0.5
0.524909,0.438719,0,1.50981,0,-3.6458e-64,0.5
0.540293,0.463262,0,1.54408,0,-3.48256e-64,0.5
0.542221,0.46633,0,1.54408,0,-3.58051e-64,0.5
0.558715,0.490874,0,1.57877,0,-3.46079e-64,0.5
0.573725,0.515418,0,1.6044,0,-3.48256e-64,0.5
0.589066,0.539961,0,1.63839,0,-3.44991e-64,0.5
0.591541,0.543029,0,1.64373,0,-3.44991e-64,0.5
0.606943,0.570641,0,1.67319,0,-3.42814e-64,0.5
0.623439,0.598253,0,1.70254,0,-3.48256e-64,0.5
0.638368,0.62433,0,1.73226,0,-3.30843e-64,0.5
0.641221,0.628932,0,1.73608,0,-3.36285e-64,0.5
0.656286,0.656544,0,1.76079,0,-3.23225e-64,0.5
0.658257,0.659612,0,1.76992,0,-3.17783e-64,0.5
0.674098,0.688757,0,1.79828,0,-3.24313e-64,0.5
0.683443,0.705631,0,1.8125,0,-3.49344e-64,0.5
0.699555,0.736311,0,1.83588,0,-3.12342e-64,0.5
0.708638,0.753185,0,1.85188,0,-3.069e-64,0.5
0.723541,0.780796,0,1.87751,0,-3.14519e-64,0.5
0.74027,0.81301,0,1.90726,0,-3.1343e-64,0.5
0.74167,0.814544,0,1.90726,0,-3.14519e-64,0.5
0.756612,0.843689,0,1.93118,0,-3.28666e-64,0.5
0.760624,0.851359,0,1.93735,0,-3.02547e-64,0.5
0.774631,0.878971,0,1.95376,0,-3.069e-64,0.5
0.790223,0.911185,0,1.97984,0,-2.91664e-64,0.5
0.805833,0.94033,0,2.0022,0,-2.99282e-64,0.5
0.809829,0.948,0,2.00828,0,-2.99282e-64,0.5
0.822611,0.974078,0,2.02334,0,-3.03636e-64,0.5
0.83878,1.00783,0,2.04723,0,-2.89488e-64,0.5
0.854391,1.04004,0,2.06776,0,-2.92753e-64,0.5
0.870443,1.07379,0,2.08594,0,-2.86223e-64,0.5
