time,theta1,theta2,omega1,omega2,current,voltage
6e-06,0,0,0,0,1.19713e-65,1
0.0090519,0,0,0,0,-1.22978e-63,1
0.0114859,0.00153398,0,0,0,-1.22434e-63,1
0.0267385,0.00460194,0,0.0183835,0,-1.21128e-63,1
0.037792,0.0076699,0,0.0183835,0,-1.20257e-63,1
0.0454287,0.00920388,0,0,0,-1.20692e-63,1
0.0604443,0.0153398,0,0.313575,0,-1.17972e-63,1
0.0623849,0.0168738,0,0.313575,0,-1.17428e-63,1
0.0775433,0.0260777,0,0.469708,0,-1.17319e-63,1
0.0830517,0.0291456,0,0.589152,0,-1.15251e-63,1
0.0951448,0.0383495,0,0.660797,0,-1.14489e-63,1
0.110339,0.0506214,0,0.773919,0,-1.13292e-63,1
0.119606,0.0582913,0,0.893212,0,-1.11551e-63,1
0.128591,0.0674952,0,0.954197,0,-1.10571e-63,1
0.143391,0.0843689,0,1.09302,0,-1.10027e-63,1
0.146562,0.0874369,0,1.09302,0,-1.0883e-63,1
0.162678,0.107379,0,1.24201,0,-1.08177e-63,1
0.178205,0.12732,0,1.35111,0,-1.06436e-63,1
0.193419,0.15033,0,1.48208,0,-1.04586e-63,1
0.196798,0.154932,0,1.48208,0,-1.04803e-63,1
0.212017,0.179476,0,1.58979,0,-1.02518e-63,1
0.227766,0.205553,0,1.72296,0,-1.01103e-63,1
0.229512,0.210155,0,1.72296,0,-1.01974e-63,1
0.244491,0.234699,0,1.8188,0,-1.00777e-63,1
0.260499,0.265379,0,1.92958,0,-9.90353e-64,1
0.277823,0.302194,0,2.05649,0,-9.71851e-64,1
0.279292,0.306796,0,2.0738,0,-9.76205e-64,1
0.294688,0.33901,0,2.16994,0,-9.56615e-64,1
0.310384,0.372757,0,2.28073,0,-9.46821e-64,1
0.327361,0.414175,0,2.39631,0,-9.37026e-64,1
0.33234,0.426447,0,2.4306,0,-9.07642e-64,1
0.345389,0.45866,0,2.50767,0,-9.17436e-64,1
0.361163,0.498544,0,2.58853,0,-9.022e-64,1
0.369543,0.521553,0,2.64777,0,-8.91317e-64,1
0.37797,0.543029,0,2.71095,0,-8.85876e-64,1
0.393243,0.584447,0,2.81027,0,-8.77169e-64,1
0.394826,0.590583,0,2.78782,0,-8.83699e-64,1
0.40989,0.633534,0,2.88519,0,-8.61933e-64,1
0.411856,0.63967,0,2.89364,0,-8.71728e-64,1
0.415041,0.64734,0,2.91874,0,-8.7064e-64,1
0.427965,0.687223,0,2.98846,0,-8.54315e-64,1
0.444613,0.734777,0,3.0764,0,-8.45609e-64,1
0.46052,0.785398,0,3.16131,0,-8.29284e-64,1
0.477927,0.843689,0,3.26225,0,-8.97847e-64,1
0.494873,0.900447,0,3.34781,0,-8.18401e-64,1
0.5105,0.951068,0,3.4285,0,-8.05342e-64,1
0.526598,1.00936,0,3.50252,0,-7.89017e-64,1
0.529191,1.0201,0,3.51903,0,-7.81399e-64,1
0.543914,1.07072,0,3.59518,0,-7.80311e-64,1
0.545404,1.07839,0,3.5962,0,-7.67251e-64,1
0.56264,1.13975,0,3.68386,0,-8.18401e-64,1
0.576649,1.1919,0,3.74379,0,-7.60721e-64,1
0.578507,1.19957,0,3.75391,0,-7.52015e-64,1
0.593589,1.25633,0,3.82277,0,-7.50927e-64,1
0.595909,1.264,0,3.82714,0,-7.52015e-64,1
0.611858,1.32689,0,3.89376,0,-7.36779e-64,1
0.614092,1.33456,0,3.91755,0,-7.4222e-64,1
0.629364,1.39746,0,3.9778,0,-7.36779e-64,1
0.644841,1.45268,0,4.03819,0,-7.23719e-64,1
0.651202,1.48183,0,4.06817,0,-7.09571e-64,1
0.663894,1.53551,0,4.11508,0,-7.13924e-64,1
0.679035,1.59841,0,4.18946,0,-7.00865e-64,1
0.693193,1.6567,0,4.23321,0,-6.99777e-64,1
0.710431,1.7288,0,4.29745,0,-6.83452e-64,1
0.712779,1.7426,0,4.32234,0,-6.99777e-64,1
0.727781,1.80703,0,4.37802,0,-6.74746e-64,1
0.745013,1.88219,0,4.43596,0,-6.72569e-64,1
0.761594,1.95889,0,4.50384,0,-6.72569e-64,1
0.778028,2.03099,0,4.56825,0,-6.56245e-64,1
0.781122,2.0448,0,4.57009,0,-6.62774e-64,1
0.795007,2.10922,0,4.62594,0,-6.4645e-64,1
0.811485,2.18439,0,4.69327,0,-6.38832e-64,1
0.823825,2.24575,0,4.73969,0,-6.38832e-64,1
0.829696,2.27336,0,4.75627,0,-6.88894e-64,1
0.844634,2.34546,0,4.81013,0,-6.25772e-64,1
0.859661,2.41909,0,4.8656,0,-6.5298e-64,1
0.878155,2.50652,0,4.92538,0,-6.11624e-64,1
0.894539,2.58629,0,5.00381,0,-5.953e-64,1
0.909526,2.66606,0,5.04864,0,-5.87682e-64,1
0.912453,2.6814,0,5.06915,0,-5.953e-64,1
0.927314,2.7535,0,5.10482,0,-5.76799e-64,1
