time,theta1,theta2,omega1,omega2,current,voltage
6.6e-06,0,0,0,0,-0.000705128,1
0.0087463,0,0,0,0,0.114231,1
0.0247001,0.00306796,0,-0.00986408,0,0.113123,1
0.0401146,0.0076699,0,0,0,0.112518,1
0.044167,0.00920388,0,0,0,0.111612,1
0.0481163,0.00920388,0,0,0,0.11141,1
0.0570964,0.0138058,0,0.297917,0,0.110504,1
0.0696272,0.0184078,0,0.297917,0,0.108489,1
0.086348,0.0291456,0,0.518247,0,0.106877,1
0.101692,0.0398835,0,0.686708,0,0.106978,1
0.108374,0.0444854,0,0.744469,0,0.104762,1
0.114388,0.0490874,0,0.744469,0,0.105266,1
0.124293,0.0582913,0,0.83907,0,0.103755,1
0.140148,0.0736311,0,0.934919,0,0.103452,1
0.141973,0.076699,0,0.979858,0,0.102344,1
0.150049,0.0843689,0,1.023,0,0.102546,1
0.159174,0.0951068,0,1.10665,0,0.101941,1
0.174682,0.111981,0,1.21217,0,0.100531,1
0.190072,0.133456,0,1.30563,0,0.0988187,1
0.1923,0.136524,0,1.33505,0,0.0989194,1
0.208346,0.158,0,1.41907,0,0.0979121,1
0.209894,0.161068,0,1.44895,0,0.0979121,1
0.225497,0.185612,0,1.553,0,0.0966026,1
0.241792,0.210155,0,1.65151,0,0.0945879,1
0.25695,0.237767,0,1.7386,0,0.0945879,1
0.272897,0.265379,0,1.84047,0,0.0928755,1
0.275636,0.271515,0,1.86143,0,0.0928755,1
0.291362,0.302194,0,1.95611,0,0.0914652,1
0.307292,0.332874,0,2.04386,0,0.0903571,1
0.309122,0.337476,0,2.04386,0,0.0979121,1
0.324423,0.371223,0,2.14299,0,0.0891484,1
0.33126,0.386563,0,2.1794,0,0.0884432,1
0.342957,0.411107,0,2.23461,0,0.0876374,1
0.347906,0.424913,0,2.27911,0,0.088141,1
0.360575,0.452524,0,2.34237,0,0.0875366,1
0.375943,0.490874,0,2.4328,0,0.0934799,1
0.391585,0.529223,0,2.51153,0,0.0848168,1
0.407231,0.570641,0,2.58916,0,0.0848168,1
0.423209,0.613592,0,2.68139,0,0.0836081,1
0.425409,0.618194,0,2.69082,0,0.0822985,1
0.441286,0.66268,0,2.76977,0,0.0817949,1
0.444254,0.671884,0,2.8058,0,0.0812912,1
0.458254,0.710233,0,2.86763,0,0.0808883,1
0.473852,0.754719,0,2.93185,0,0.0805861,1
0.475587,0.760854,0,2.94935,0,0.0797802,1
0.49127,0.808408,0,3.02861,0,0.0785714,1
0.506948,0.854427,0,3.10134,0,0.0785714,1
0.508795,0.860563,0,3.11069,0,0.0778663,1
0.525141,0.911185,0,3.19681,0,0.0816941,1
0.541378,0.966408,0,3.28368,0,0.076456,1
0.556307,1.01396,0,3.34502,0,0.0752473,1
0.575079,1.08146,0,3.43533,0,0.0732326,1
0.576851,1.08452,0,3.43819,0,0.0736355,1
0.591571,1.13821,0,3.51408,0,0.0730311,1
0.607751,1.19497,0,3.58413,0,0.0720238,1
0.623936,1.25633,0,3.66172,0,0.0718223,1
0.639997,1.31616,0,3.74611,0,0.0709158,1
0.641423,1.31922,0,3.74611,0,0.0707143,1
0.658163,1.38365,0,3.81732,0,0.0694048,1
0.661103,1.39592,0,3.83429,0,0.0694048,1
0.665916,1.41433,0,3.85944,0,0.0691026,1
0.667344,1.41893,0,3.85944,0,0.0691026,1
0.676172,1.45421,0,3.90112,0,0.0695055,1
0.692905,1.51711,0,3.97469,0,0.0686996,1
0.709629,1.5846,0,4.04956,0,0.0672894,1
0.725537,1.65056,0,4.1231,0,0.0656777,1
0.7408,1.71806,0,4.18898,0,0.0655769,1
0.749285,1.75181,0,4.22669,0,0.065174,1
0.758539,1.79016,0,4.26571,0,0.0643681,1
0.773872,1.85458,0,4.33192,0,0.0632601,1
0.790951,1.93282,0,4.40452,0,0.0622527,1
0.806819,2.00338,0,4.46804,0,0.0616484,1
0.822651,2.07087,0,4.5358,0,0.0593315,1
0.839006,2.14911,0,4.59529,0,0.0602381,1
0.855052,2.22427,0,4.66477,0,0.0590293,1
0.870736,2.2933,0,4.71581,0,0.0592308,1
0.88672,2.37,0,4.77493,0,0.0571154,1
0.902897,2.4513,0,4.84144,0,0.0571154,1
0.918607,2.52493,0,4.91918,0,0.0563095,1
0.934639,2.6047,0,4.95587,0,0.0563095,1
0.950757,2.68447,0,5.01329,0,0.0557051,1
0.966795,2.76423,0,5.06624,0,0.0579212,1
0.982613,2.84553,0,5.12388,0,0.0532875,1
0.998752,2.92837,0,5.16951,0,0.0517766,1
1.01482,3.0112,0,5.21725,0,0.0526832,1
1.03077,3.09557,0,5.27361,0,0.0524817,1
1.04682,3.18608,0,5.32388,0,0.0516758,1
1.06321,3.26585,0,5.37218,0,0.0514744,1
1.07887,3.35328,0,5.4116,0,0.0507692,1
1.09473,3.44072,0,5.45617,0,0.0503663,1
1.11078,3.52969,0,5.50842,0,0.0494597,1
1.12617,3.61713,0,5.54729,0,0.0501648,1
1.14222,3.7061,0,5.58877,0,0.0479487,1
1.15832,3.7966,0,5.63712,0,0.0474451,1
1.17383,3.88097,0,5.64814,0,0.0482509,1
1.18976,3.97148,0,5.70128,0,0.0465385,1
1.20568,4.06352,0,5.74577,0,0.0482509,1
1.22137,4.15555,0,5.7946,0,0.0464377,1
1.2374,4.24913,0,5.81199,0,0.0460348,1
1.25303,4.3427,0,5.86951,0,0.0484524,1
1.25519,4.35497,0,5.87232,0,0.0461355,1
1.25772,4.36571,0,5.87435,0,0.044826,1
1.2729,4.46082,0,5.92374,0,0.0449267,1
1.27436,4.46695,0,5.9231,0,0.0457326,1
1.28971,4.55592,0,5.96791,0,0.0435165,1
1.30546,4.65103,0,5.99944,0,0.0431136,1
1.32074,4.74153,0,6.04947,0,0.0438187,1
1.33655,4.83818,0,6.07492,0,0.0423077,1
1.35269,4.93635,0,6.11901,0,0.0415018,1
1.3688,5.03452,0,6.16194,0,0.0421062,1
1.38478,5.13423,0,6.20975,0,0.0413004,1
1.40179,5.23394,0,6.24204,0,0.0403938,1
1.40709,5.27076,0,6.25609,0,0.0404945,1
1.42238,5.37047,0,6.29155,0,0.0400916,1
1.44165,5.49319,0,6.32597,0,0.0430128,1
1.45751,5.59443,0,6.36387,0,0.0384799,1
1.46151,5.62051,0,6.37572,0,0.0396886,1
1.46716,5.65886,0,6.36947,0,0.0386813,1
1.48188,5.75396,0,6.42038,0,0.0386813,1
