time,theta1,theta2,omega1,omega2,current,voltage
7.2e-06,0,0,0,0,-0.000302198,0
0.0043072,0,0,0,0,-0.000201465,0
0.0194593,0,0,0,0,-0.000201465,0
0.0238149,0,0,0,0,-0.00040293,0
0.036083,0,0,0,0,0.000201465,0
0.0507333,0,0,0,0,0.000302198,0
0.0560735,0,0,0,0,-0.000201465,0
0.0630486,0,0,0,0,0.000100733,0
0.0649753,0,0,0,0,-0.000201465,0
0.0727773,0,0,0,0,0.000201465,0
0.0858726,0,0,0,0,-0.000503663,0
0.101614,0,0,0,0,0.00040293,0
0.119497,0,0,0,0,0,0
0.134707,0,0,0,0,-0.000100733,0
0.136705,0,0,0,0,0.000100733,0
0.152677,0,0,0,0,-0.000201465,0
0.167863,0,0,0,0,0.000604396,0
0.169919,0,0,0,0,0.000201465,0
0.185467,-0.00306796,0,0,0,-0.000604396,0
0.202903,-0.00306796,0,0,0,0.000604396,0
0.218269,-0.00306796,0,0,0,-0.00040293,0
0.219855,-0.00306796,0,0,0,-0.000503663,0
0.234996,-0.00306796,0,0,0,-0.000503663,0
0.251605,-0.00306796,0,0,0,0,0
0.267595,-0.00306796,0,0,0,-0.000604396,0
0.269951,-0.00306796,0,0,0,0.000201465,0
0.285807,-0.00306796,0,0,0,-0.000100733,0
0.290269,-0.00306796,0,0,0,-0.000100733,0
0.302947,-0.00306796,0,0,0,-0.000604396,0
0.320043,-0.00306796,0,0,0,-0.00040293,0
0.335965,-0.00306796,0,0,0,-0.000201465,0
0.351819,-0.00306796,0,0,0,-0.00040293,0
0.35872,-0.00306796,0,0,0,-0.000201465,0
0.369519,-0.00306796,0,0,0,-0.00040293,0
0.385781,-0.00306796,0,0,0,-0.000805861,0
0.401258,-0.00306796,0,0,0,-0.000604396,0
0.417467,-0.00306796,0,0,0,-0.00040293,0
0.419804,-0.00306796,0,0,0,-0.000201465,0
0.435997,-0.00306796,0,0,0,0.00040293,0
0.451124,-0.00306796,0,0,0,0.000100733,0
0.469033,-0.00306796,0,0,0,-0.000100733,0
0.483469,-0.00306796,0,0,0,-0.000201465,0
0.486226,-0.00306796,0,0,0,-0.000302198,0
