time,theta1,theta2,omega1,omega2,current,voltage
7.6e-06,0,0,0.585537,0,-0.00997253,1
0.0131179,0.00920388,0,0.702608,0,0.106474,1
0.0149026,0.0107379,0,0.702608,0,0.107179,1
0.0304205,0.0199418,0,0.631829,0,0.109396,1
0.0463334,0.0260777,0,0.507306,0,0.11,1
0.0484549,0.0276117,0,0.507306,0,0.111007,1
0.064198,0.0322136,0,0.419216,0,0.114029,1
0.0803632,0.0322136,0,0.302986,0,0.117353,1
0.0962258,0.0291456,0,-0.174032,0,0.118361,1
0.0985438,0.0276117,0,-0.194742,0,0.118059,1
0.113837,0.0245437,0,-0.194742,0,0.118764,1
0.115314,0.0245437,0,-0.194742,0,0.117152,1
0.131111,0.0214757,0,-0.229495,0,0.117454,1
0.147115,0.0199418,0,-0.229495,0,0.116951,1
0.163051,0.0184078,0,-0.15583,0,0.115842,1
0.164903,0.0184078,0,-0.152008,0,0.116044,1
0.170505,0.0184078,0,-0.132317,0,0.115339,1
0.196373,0.0184078,0,-0.0847846,0,0.116044,1
0.212199,0.0184078,0,-0.0694295,0,0.116447,1
0.228148,0.0184078,0,-0.0587918,0,0.116346,1
0.231023,0.0184078,0,-0.0576815,0,0.116648,1
0.235427,0.0184078,0,-0.0550926,0,0.117454,1
0.248691,0.0168738,0,-0.0493349,0,0.117756,1
0.265242,0.0138058,0,-0.133001,0,0.119167,1
0.279488,0.0107379,0,-0.133001,0,0.11826,1
0.281293,0.0107379,0,-0.133001,0,0.119267,1
0.29665,0.00613592,0,-0.0544409,0,0.118462,1
0.313037,0.00306796,0,-0.213398,0,0.117756,1
0.315266,0.00306796,0,-0.213398,0,0.117958,1
0.330212,0,0,-0.213398,0,0.117857,1
0.346475,-0.00306796,0,-0.215209,0,0.117353,1
0.347893,-0.00306796,0,-0.215209,0,0.117152,1
0.363223,-0.00460194,0,-0.215209,0,0.116346,1
0.367722,-0.00613592,0,-0.215209,0,0.11685,1
0.382246,-0.00613592,0,-0.143218,0,0.115238,1
0.397901,-0.00460194,0,-0.152902,0,0.114432,1
0.399363,-0.00460194,0,-0.152902,0,0.114231,1
0.414917,-0.00306796,0,-0.152902,0,0.114936,1
0.430748,-0.00153398,0,0.132392,0,0.114835,1
0.44595,0,0,0.100025,0,0.114734,1
0.447551,0,0,0.09686,0,0.115742,1
0.451358,0,0,0.0911084,0,0.115238,1
0.465327,0,0,0.0754234,0,0.116145,1
0.481141,0,0,0.0630274,0,0.117454,1
0.497587,-0.00153398,0,-0.054133,0,0.117051,1
0.513287,-0.00306796,0,-0.115345,0,0.115943,1
0.515452,-0.00306796,0,-0.115345,0,0.116749,1
0.531309,-0.00460194,0,-0.115345,0,0.115842,1
0.546761,-0.00460194,0,-0.115345,0,0.115842,1
0.549063,-0.00460194,0,-0.115345,0,0.116648,1
0.564267,-0.00460194,0,-0.108127,0,0.116245,1
0.580332,-0.00460194,0,-0.083208,0,0.115943,1
0.596644,-0.00460194,0,-0.0683675,0,0.116145,1
0.598457,-0.00460194,0,-0.0668817,0,0.115238,1
0.614443,-0.00460194,0,-0.0569467,0,0.115137,1
0.629768,-0.00460194,0,-0.0499894,0,0.116447,1
0.647196,-0.00460194,0,-0.043909,0,0.116245,1
0.648633,-0.00460194,0,-0.0435965,0,0.115842,1
0.664828,-0.00460194,0,-0.0388975,0,0.114835,1
0.680298,-0.00460194,0,-0.0353151,0,0.116145,1
0.683138,-0.00460194,0,-0.0347166,0,0.115742,1
0.698041,-0.00460194,0,-0.0319998,0,0.116044,1
0.71307,-0.00460194,0,-0.0296789,0,0.116145,1
0.714944,-0.00460194,0,-0.0295353,0,0.116245,1
0.731429,-0.00460194,0,-0.0273019,0,0.115842,1
0.747036,-0.00460194,0,-0.0254867,0,0.115339,1
0.763418,-0.00460194,0,-0.0238992,0,0.115137,1
0.774948,-0.00460194,0,-0.0229167,0,0.11544,1
0.790401,-0.00460194,0,-0.021625,0,0.116346,1
0.805555,-0.00306796,0,0.0205393,0,0.115339,1
0.832223,-0.00306796,0,0.0188364,0,0.115742,1
0.847259,-0.00306796,0,0.0180605,0,0.115943,1
0.862895,-0.00306796,0,0.0172479,0,0.115339,1
0.879248,-0.00306796,0,0.0165058,0,0.115641,1
0.894613,-0.00306796,0,0.0158248,0,0.11544,1
0.910603,-0.00306796,0,0.0151975,0,0.11544,1
0.92644,-0.00306796,0,0.0146183,0,0.114835,1
0.942519,-0.00306796,0,0.0140813,0,0.114634,1
0.958248,-0.00306796,0,0.0135828,0,0.115943,1
0.974289,-0.00306796,0,0.013118,0,0.11544,1
0.990392,-0.00306796,0,0.0126841,0,0.115037,1
1.0064,-0.00306796,0,0.0122781,0,0.115339,1
1.02228,-0.00306796,0,0.0118972,0,0.115037,1
1.03821,-0.00153398,0,0.0115392,0,0.115842,1
1.05442,-0.00153398,0,0.0112021,0,0.11544,1
1.07018,-0.00153398,0,0.0108843,0,0.115137,1
1.08611,-0.00153398,0,0.0105838,0,0.115641,1
1.10192,-0.00153398,0,0.0103169,0,0.114835,1
1.11799,-0.00153398,0,0.0100467,0,0.11554,1
1.13409,-0.00153398,0,0.00977456,0,0.115742,1
1.15049,0,0,0.00953161,0,0.11544,1
1.16691,0,0,0.00930049,0,0.115339,1
1.17016,0,0,0.00924438,0,0.115238,1
1.18086,0,0,0.00910724,0,0.115037,1
1.19586,0.00153398,0,0.0099149,0,0.115742,1
1.21191,0.00153398,0,0.0099149,0,0.116044,1
1.21368,0.00153398,0,0.0099149,0,0.115641,1
1.22883,0.00153398,0,0.0099149,0,0.115842,1
1.24508,0.00153398,0,0.0099149,0,0.11554,1
1.26065,0.00153398,0,0.0099149,0,0.115339,1
1.27648,0.00153398,0,0.0099149,0,0.115339,1
1.29261,0.00153398,0,0.0099149,0,0.115238,1
1.30829,0.00153398,0,0.0099149,0,0.116145,1
1.32417,0.00153398,0,0.0099149,0,0.116044,1
1.34027,0.00153398,0,0.0099149,0,0.115339,1
1.35627,0,0,0.0099149,0,0.117051,1
1.37216,0,0,0.0099149,0,0.115943,1
1.38835,0,0,0.0099149,0,0.11544,1
1.40433,0,0,0.0099149,0,0.115037,1
1.40786,0.00153398,0,-0.0195872,0,0.11554,1
1.41413,0.00153398,0,-0.0195872,0,0.115037,1
1.4295,0.00153398,0,-0.0195872,0,0.114533,1
1.4463,0.00153398,0,-0.0195872,0,0.11544,1
1.46234,0.00153398,0,-0.0195872,0,0.115339,1
1.47747,0.00153398,0,-0.0195872,0,0.116245,1
1.49585,0.00153398,0,-0.0195872,0,0.11544,1
1.49771,0.00153398,0,-0.0195872,0,0.115842,1
1.51333,0.00153398,0,-0.0195872,0,0.116044,1
1.515,0.00153398,0,-0.0195872,0,0.115339,1
1.53093,0.00153398,0,-0.0195872,0,0.115238,1
1.5323,0.00153398,0,-0.0195872,0,0.11544,1
1.54844,0.00153398,0,-0.0195872,0,0.115742,1
1.56492,0.00153398,0,-0.0195872,0,0.115641,1
1.57978,0.00153398,0,-0.0195872,0,0.115842,1
1.59606,0.00153398,0,-0.0195872,0,0.116346,1
1.6123,0.00153398,0,-0.0195872,0,0.115842,1
1.62817,0.00153398,0,-0.0195872,0,0.115742,1
1.64412,0.00153398,0,-0.0195872,0,0.115137,1
1.6599,0.00153398,0,-0.0195872,0,0.116044,1
1.67587,0.00153398,0,-0.0195872,0,0.115238,1
1.69192,0.00153398,0,-0.0195872,0,0.116044,1
1.70841,0.00153398,0,-0.0195872,0,0.115943,1
1.72387,0.00153398,0,0.0194164,0,0.116145,1
1.73991,0.00153398,0,0.0184803,0,0.115742,1
1.75593,0.00153398,0,0.0176309,0,0.116749,1
1.77238,0.00153398,0,0.01681,0,0.115641,1
1.77605,0.00153398,0,0.0166726,0,0.11544,1
1.78052,0.00153398,0,0.0164934,0,0.115641,1
1.79719,0.00153398,0,0.0157726,0,0.115641,1
1.81265,0.00153398,0,0.0151498,0,0.114634,1
1.82813,0.00153398,0,0.0145738,0,0.115339,1
1.84699,0.00153398,0,0.0139448,0,0.116145,1
1.86291,0.00153398,0,0.0134849,0,0.115238,1
1.87902,0.00153398,0,0.0130268,0,0.11554,1
1.89493,0,0,-0.0125988,0,0.11544,1
1.91095,0,0,-0.0121981,0,0.115943,1
1.92691,0,0,-0.0118222,0,0.115339,1
1.9431,0,0,-0.0114471,0,0.116447,1
1.95908,0.00153398,0,-0.011336,0,0.115238,1
1.97482,0.00153398,0,-0.011336,0,0.116145,1
1.99085,0.00153398,0,-0.011336,0,0.115943,1
2.00678,0.00153398,0,-0.011336,0,0.11554,1
2.02238,0.00153398,0,-0.011336,0,0.115742,1
2.03826,0.00153398,0,-0.011336,0,0.116044,1
2.05467,0.00153398,0,-0.011336,0,0.115641,1
2.07048,0,0,-0.011336,0,0.116548,1
2.08613,0,0,-0.011336,0,0.115238,1
2.1019,0.00153398,0,-0.0355199,0,0.114734,1
2.1178,0.00153398,0,-0.0355199,0,0.114231,1
2.13392,0.00460194,0,-0.0355199,0,0.113929,1
2.14989,0.0076699,0,0.0965512,0,0.112921,1
2.16609,0.0122718,0,0.0965512,0,0.113526,1
2.18198,0.0138058,0,0.207932,0,0.114936,1
2.19813,0.0168738,0,0.207932,0,0.113223,1
2.21344,0.0214757,0,0.161598,0,0.110705,1
2.22891,0.0276117,0,0.308814,0,0.110806,1
2.24495,0.0337476,0,0.36786,0,0.109496,1
2.2614,0.0444854,0,0.591489,0,0.116447,1
2.27697,0.0567573,0,0.78657,0,0.106273,1
2.29301,0.0659612,0,0.741849,0,0.109295,1
2.309,0.0720971,0,0.524373,0,0.111007,1
2.32479,0.078233,0,0.422015,0,0.112921,1
2.34074,0.081301,0,0.333199,0,0.114332,1
2.35655,0.082835,0,0.314645,0,0.11413,1
2.37336,0.0843689,0,0.168066,0,0.114634,1
2.3883,0.0843689,0,0.119129,0,0.115742,1
2.40401,0.082835,0,0.158568,0,0.117555,1
2.41985,0.081301,0,0.158568,0,0.116548,1
2.43587,0.079767,0,0.158568,0,0.116245,1
2.45189,0.078233,0,-0.116667,0,0.115137,1
2.46797,0.079767,0,0.0894666,0,0.114432,1
2.48392,0.082835,0,0.0972172,0,0.112921,1
2.4996,0.0874369,0,0.098064,0,0.110907,1
2.51549,0.0935728,0,0.360091,0,0.110705,1
2.53134,0.0981748,0,0.344148,0,0.112619,1
2.54755,0.101243,0,0.345801,0,0.114029,1
